1394 [main] INFO  net.tomp2p.connection.PeerCreator - Status of external address search: Discover status:  ++lo( /127.0.0.1,/0:0:0:0:0:0:0:1), ++eth0(), ++eth1(), ++wlan0( /fe80:0:0:0:f038:3e05:1fa6:8a68%wlan0), ++ppp0(), ++eth2(), ++net0(), ++net1(), ++net2(), ++eth3(), ++ppp1(), ++net3( /fe80:0:0:0:0:5efe:c0a8:b%net3), ++eth4(), ++net4(), ++eth5(), ++eth6(), ++net5(), ++net6(), ++net7( /2001:0:9d38:6ab8:3cc3:2436:af24:4a6b,/fe80:0:0:0:3cc3:2436:af24:4a6b%net7), ++eth7( /fe80:0:0:0:d5b8:9640:9aa6:346c%eth7), ++net8(), ++eth8(), ++wlan1( /192.168.0.11,/fe80:0:0:0:2569:9eb9:e4c8:5698%wlan1), ++net9(), ++eth9(), ++eth10(), ++eth11(), ++eth12(), ++eth13(), ++eth14(), ++eth15(), ++eth16(), ++eth17(), ++eth18(), ++wlan2(), ++wlan3(), ++wlan4(), ++wlan5(), ++wlan6(), ++wlan7(), ++wlan8(), ++wlan9(), ++wlan10().
1408 [main] INFO  net.tomp2p.connection.PeerCreator - Visible address to other peers: paddr[0x1[/192.168.0.11,4003]]/relay(false)/slow(false)
2098 [pool-2-thread-1] WARN  net.tomp2p.connection.ChannelServer - cannot bind broadcast UDP /127.255.255.255:4003
2102 [pool-2-thread-1] WARN  net.tomp2p.connection.ChannelServer - cannot bind broadcast UDP /192.168.0.255:4003
2102 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on wildcard broadcast address 0.0.0.0/0.0.0.0:4003
2352 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /127.0.0.1 on port tcp: 4003
2354 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /0:0:0:0:0:0:0:1 on port tcp: 4003
2356 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /fe80:0:0:0:f038:3e05:1fa6:8a68%wlan0 on port tcp: 4003
2358 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /fe80:0:0:0:0:5efe:c0a8:b%net3 on port tcp: 4003
2359 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /2001:0:9d38:6ab8:3cc3:2436:af24:4a6b on port tcp: 4003
2361 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /fe80:0:0:0:3cc3:2436:af24:4a6b%net7 on port tcp: 4003
2362 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /fe80:0:0:0:d5b8:9640:9aa6:346c%eth7 on port tcp: 4003
2364 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /192.168.0.11 on port tcp: 4003
2365 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /fe80:0:0:0:2569:9eb9:e4c8:5698%wlan1 on port tcp: 4003
2559 [main] INFO  net.tomp2p.mapreduce.TaskRPC - putTaskData(k[0x7d2c1b7fb3a0c5e7e12009965859be2ecc937a05] d[0x7d2c1b7fb3a0c5e7e12009965859be2ecc937a05], v[ ])
2573 [main] INFO  net.tomp2p.mapreduce.TaskRPC - PUT TASK DATA BEFORE SEND MESSAGE: [2014052108] @ [Mar 14, 2016 10:16:09 AM]
2579 [main] INFO  net.tomp2p.mapreduce.TaskRPC - HANDLE RESPONSE RECEIVED MESSAGE: [2014052108] @ [Mar 14, 2016 10:16:09 AM]
2820 [main] INFO  net.tomp2p.mapreduce.TaskRPC - PUT handle Response: [requestor: 1] put(k[0x7d2c1b7fb3a0c5e7e12009965859be2ecc937a05],d[0x7d2c1b7fb3a0c5e7e12009965859be2ecc937a05], v[ 
2867 [main] INFO  n.t.mapreduce.examplejob.StartTask - Sucess on put(Job) with key -862750203, continue to put data for job
2867 [main] INFO  n.t.mapreduce.examplejob.StartTask - >>>>>>>>>>>>>>>>>>>> EXECUTING START TASK
